,Question,Answer,Class
0,Why Do I Not Have the eRx Icon Next to Help on the Standard Page Header?,You must have the User Right Access ePrescribe for the ePrescribe (eRx) icon to appear to the right of the Help menu on the Standard Page Header in PrimeSuite.  Ask your System Administrator to grant you the Access ePrescribe right.,Medical
1,Can I Still Import the Pharmacy Listing Even If I am not using eRx?,"Yes. You can import a Pharmacy Listing whether or not you are using Prime Suite-ePrescribe (eRx).  The Preferred Pharmacy field in Registration Information allows you to access, search for, and select a Preferred Pharmacy from the Pharmacy Listing if you have imported a Pharmacy Listing.  A Patient's preferred Pharmacy Name and Fax Number will display on the Medications dialog if a Preferred Pharmacy has been selected on Registration Information.  The fields Preferred Pharmacy, Pharmacy Phone, Pharmacy Fax, and Pharmacy Address are available for display on the Patient Info overlay as well.  The Preferred Pharmacy fields on the Medications dialog in Patient Chart and on the Patient Info overlay can be used with manually entered pharmacies as well as those selected from imported Pharmacy Listings.",Medical
2,Can I Add More Than One Pharmacy as the Patient's Preferred Pharmacy on Registration Information?,"No.  At the present time, you can only enter a single pharmacy as the Patient's Preferred Pharmacy on Registration Information to be displayed on the Medications dialog and in the Patient Info overlay.",Medical
3,How Do I Import a Pharmacy Listing from the Greenway Library ?,"To Import a Pharmacy Listing from the Greenway Library, follow these steps: From the PrimeSuite Reports menu, select Report Designer. On the Report Designer page, select Import from the black Action bar to the left of the main panel. The Greenway Library Import dialog opens. In the Greenway Library Import dialog, browse to the desired Pharmacy Listing by selecting Pharmacies > Pharmacy Listings > Pharmacy State under the Browse Greenway Library (default) option. Select the desired state's listing.",Medical
4,Can I Manually Add to the Pharmacy Listing?,"The simple answer is Yes.  You can add to the Pharmacy Listing manually; however, this is not the preferred method for adding pharmacies if you are using Prime Suite-ePrescribe functionality.  A manually added pharmacy cannot be used for an electronic prescription.  When you manually add a pharmacy, the pharmacy information cannot be transmitted to DrFirst because the manually entered pharmacy does not have a pharmacy ID associated with it.  If a previous electronic prescription for the patient has been sent, DrFirst will still have that prescription's pharmacy associated with the patient.  The manually entered pharmacy will not update that entry because it lacks a pharmacy ID to associate it with the electronic pharmacy listing.  A pharmacy that is not on the PrimeSuite Pharmacy Listing can be selected in DrFirst and associated with the patient.  When the response from DrFirst is returned to PrimeSuite, the pharmacy selected in DrFirst will be added to the PrimeSuite Pharmacy Listing, though it will not be associated with the patient.  You must associate the new pharmacy with the patient on the patient's next visit .  Unless the pharmacy is very new, you should find it using the Pharmacy Search function.",Medical
5,"I Can Find the Pharmacy in DrFirst, But Not In PrimeSuite.  How Do I Get the Pharmacy Into PrimeSuite?","To import a pharmacy entry from DrFirst and add it to your PrimeSuite-ePrescribe Pharmacy Listing, simply select the pharmacy in DrFirst, attach to the Patient and send the prescription.  When the prescription has been sent and the electronic response is received by ePrescribe, the pharmacy will be added to your Pharmacy Listing in PrimeSuite.  The pharmacy will not be associated with the patient as the Preferred Pharmacy, however.  You will need to associate the pharmacy with the patient as the Preferred Pharmacy on Registration Information during the patient's next visit.",Medical
6,How Do I Cancel a Prescription Sent In Error?,"To cancel a prescription sent in error or a prescription containing an error, follow these steps: Select Open ePrescribe from the Action bar to the left of the main panel in Patient Charts.Select the Prescription Report option from the ePrescribe menu at the top of the page. In the Prescription Report section:  Select the appropriate Provider, Patient, Status , and Completed criteria to return the prescription in question. Click the Display Report button. Locate the prescription sent in error and click the Void Action to the right of the line item. A fax will be sent to notify the pharmacy of the voided prescription.",Medical
7,What Do I Do If the Pharmacy States They Did Not Receive the Prescription?,"If the pharmacy says they did not receive the prescription, you should first run the Prescription Report in DrFirst (ePrescribe) to check the Status. To do so, follow these steps: Select Open ePrescribe from the Action bar to the left of the main panel in Patient Charts. Select the Prescription Report option from the ePrescribe menu at the top of the page. In the Prescription Report section: Select appropriate Provider, Patient, Status, and Completed criteria to display the prescription in question. Click Display Report. After the report processes, find the prescription in question on the returned list and verify the Status. If the prescription is Pending, have the appropriate Provider sign and send. If the Status is Sent, verify that the pharmacy has not received the electronic prescription and ask them to check their fax (some prescriptions default to fax).  If the pharmacy finds the prescription in neither received electronic submissions nor faxes, make a note of the prescription Serial# from the report and contact the Greenway Customer Support department to have them track the status of the prescription. ",Medical
8,"I Received an Error Indicating ""Condition SSO-305.""  What Does This Mean?","The complete error message is ""We are sorry, but the system could not process your request. Please report condition SSO-305."" If you receive this message when attempting to access ePrescribe, your PrimeSuite Username is not a registered DrFirst user or there is a problem with the mapping of your Username to DrFirst Registration information.  Contact Greenway Customer Support to assist you with resolving the problem.",Medical
9,What Search Methods Can Be Used in the Pharmacy Search?,"You can use any of the following methods in the PrimeSuite Pharmacy Search (from Registration Information field Preferred Pharmacy): Phone or Fax number: If you use this method, you must enter the phone number in the exact format used in the system or you will not return a match even when the phone number entered is identical except for formatting.  The format is (###) ###-####.  For example, use (770) 836-3100, not 770-836-3100. Pharmacy Name if you are searching for a pharmacy associated with a pharmaceutical corporation; use the corporate name rather than the local name for best results.  For example, use CVS, not Corner Drugs.  If you are seeking the listing for an independent pharmacy named for a family, try searching for the name with no apostrophe.  For example, use Smith, not Smith's.  You can also execute a wild-card search in this field.  To do so, enter the first few letters of the pharmacy sought.  For example, enter Wal to return all pharmacies with names beginning with ""Wal,"" including Wal-Mart, Walgreens, etc. State, City and/or Zip Code. If you enter a value in any of these fields (or a combination of fields), all pharmacies within the geographical area specified are returned.  For example, if you enter Georgia in the State field, all Georgia pharmacies are returned.  If you enter Carrollton in the City field and Georgia in the State field, all pharmacies in Carrollton, Georgia, are returned.  If you enter 30117 in the Zip Code field, all pharmacies in the 30117 Zip Code are returned.",Medical
10,I Attached the Wrong Pharmacy to the Patient for Preferred Pharmacy in Registration Information.  How Do I Correct It?,"You cannot currently delete a Preferred Pharmacy from Registration Information for a patient once it is associated with the patient; however, you can replace it.  If you know the correct pharmacy to replace the incorrect value in Preferred Pharmacy, simply Search and Select the new pharmacy. If you do not know the correct pharmacy, you can create a dummy entry named Unknown or Pharmacy Needed as a reminder to update the Preferred Pharmacy on the patient's next visit. REMEMBER: Manually added pharmacies such as this dummy entry are not sent to DrFirst to create the electronic prescription.  They can be identified easily; each manual entry has an asterisk (*) to the right of the pharmacy name.  If the incorrect pharmacy was sent to DrFirst as part of an electronic prescription, it is still associated with the patient in DrFirst.  DrFirst requires a pharmacy be associated with each patient, so the incorrect value cannot be removed until a valid electronically generated pharmacy listing replaces it.  You must enter a valid Preferred Pharmacy in PrimeSuite prior to the next electronic prescription creation.  ",Medical
11,The eRx Icon on the Standard Page Header to the Right of the Help Menu Indicates I Have Prescriptions Pending.  How Do I Access and Process Them?,"You access and work Pending prescriptions using the Prescription Report in ePrescribe.  When you click the eRx icon to open ePrescribe, Renewal Requests are loaded by default.  To access your Pending Prescriptions, run the Prescription Report with the Status set to Pending.Follow these steps: Click the eRx icon to the right of the Help menu on the Standard Page Header in PrimeSuite to open ePrescribe. Select the Prescription Report option from the ePrescribe menu at the top of the page. In the Prescription Report section: Select the appropriate Provider, Patient, and Status criteria.",Medical
12,What Does the III Fax Field Indicate in the Pharmacy Search Dialog?,"If the III Fax indicator is selected for a pharmacy displayed under Previously Selected Pharmacies or Pharmacy Search on the Pharmacy Search dialog, the pharmacy can accept prescriptions for Schedule III drugs via fax, provided the facsimile meet all applicable federal and state regulations.  Electronic prescriptions of Schedule III-V drugs do not meet federal regulation.  In some cases, a facsimile copy of a manually signed prescription can meet federal regulations.  State regulations can be more rigorous than federal regulations.",Medical
13,Can I Send a Prescription for a Schedule III Drug Electronically via DrFirst?,"No.  Prescriptions for Schedule III through Schedule V drugs cannot be sent as electronic transactions.  These prescriptions are required by federal law to be printed and signed manually.  State regulations vary and can be more rigorous than federal regulations.  In most cases, prescriptions for Schedule III, IV and V drugs must be handed directly to the patient.  If the pharmacy is set up to receive Schedule III faxes, the printed, manually signed prescription can be faxed.",Medical
14,How Do I Obtain a List of Pharmacies in my Geographic Area that Participate in Electronic Prescription Interchange ?,"To find out which pharmacies in your area participate in electronic prescription interchange, follow these steps: Navigate to the Pharmacy-Physician Search page on the SureScripts website: http://www.surescripts.com/pharmacy-physician-search.aspx . Select the Pharmacy option. Select your State and City or enter your Zip Code and select the number of miles for the Search within option to retrieve a list of participating pharmacies that meet your selection criteria. The pharmacies on the list you retrieve participate in exchange of electronic prescriptions and renewal requests.  If some of the pharmacies in your area with whom you work frequently are not listed, you can still use PrimeSuite-ePrescribe to seamlessly submit prescriptions via fax. When your patient's Preferred Pharmacy does not accept electronic transmissions, ePrescribe converts the prescription data to automatically generate a fax prescription.  You do not have to remember which pharmacies work from fax and which accept direct eRx transmission.",Medical
15,"Aside from PrimeSuite Help, Where Can I Find More Information on using ePrescribe/DrFirst?",You will find DrFirst Help information in two locations from the ePrescribe menu. Select Help from the Help / Contact Us option on the PrimeSuite-ePrescribe menu bar at the top of the dialog to view the Rcopia E-Prescribing Help Interface.Find DrFirst/Rcopia Frequently Asked Questions under Additional Options on the PrimeSuite-ePrescribe menu bar at the top of the dialog.,Medical
0,Hello,Hi,General
1,Hi,Hello,General
2,Greetings!,Hello,General
3,Hello,Greetings!,General
4,"Hi, How is it going?",Its Going fantastic how about you ?,General
5,"Hi, How is it going?",Great,General
6,How are you?,Good. whatsup with you ?,General
7,How are you doing?,"Very well, thanks.",General
8,How are you?,I am Good what about you ?,General
9,Nice to meet you.,Thank you.,General
10,good,great that is!,General
11,How do you do?,I'm doing well. How are you?,General
12,"Hi, nice to meet you.",Thank you. You too.,General
13,It is a pleasure to meet you.,Thank you. You too.,General
14,Top of the morning to you!,Thank you kindly.,General
15,What's up?,The sky's up but I'm fine thanks. What about you?,General
16,Whats up?,The sky's up but I'm fine thanks. What about you?,General
17,hey,hello,General
18,how are you ?,Awesome! Thanks for asking,General
